,school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
42,Kentucky,SEC,On! On! U of K,Troy Perkins and Charles A. Lampert,1923,1,1,1,79,52,1,4,1,1,0,0,1,0,0,1,5,6QMYhg8EaZm7P1n4FZrCWB,0.686,0.594,7,-10.018,0,0.0689,0.698,0.992,0.0778,0.938,79.135,52467,4,0.686,0.594,7,-10.018,0,0.0689,0.698,0.992,0.0778,0.938,79.135,52467,4,0.686,0.594,7,-10.018,0,0.0689,0.698,0.992,0.0778,0.938,79.135,52467,4
43,LSU,SEC,Fight for LSU,Castro Carazo and W.G. Higginbotham,1937,0,1,0,168,83,1,5,0,1,1,0,1,0,0,1,5,5AeAxCC07c4eyWY8eKopQ4,0.528,0.823,10,-10.462,1,0.0496,0.791,0.988,0.326,0.911,168.297,83333,4,0.528,0.823,10,-10.462,1,0.0496,0.791,0.988,0.326,0.911,168.297,83333,4,0.528,0.823,10,-10.462,1,0.0496,0.791,0.988,0.326,0.911,168.297,83333,4
44,Mississippi,SEC,Forward Rebels,E.F. Yerby,Unknown,Unknown,1,0,153,65,1,6,1,1,0,0,1,0,0,0,4,301ClIQs4cI8poO11mklxg,0.661,0.873,8,-7.782,1,0.0483,0.606,0.0042,0.34,0.509,153.208,65133,4,0.661,0.873,8,-7.782,1,0.0483,0.606,0.0042,0.34,0.509,153.208,65133,4,0.661,0.873,8,-7.782,1,0.0483,0.606,0.0042,0.34,0.509,153.208,65133,4
45,Mississippi State,SEC,Hail State,Joseph Peavey,1936,0,1,1,146,54,1,2,1,1,0,0,0,0,0,1,4,3WN6SK7WfjUSRDFH4PlMNV,0.817,0.78,3,-9.206,1,0.0604,0.77,0.166,0.222,0.967,145.738,54920,4,0.817,0.78,3,-9.206,1,0.0604,0.77,0.166,0.222,0.967,145.738,54920,4,0.817,0.78,3,-9.206,1,0.0604,0.77,0.166,0.222,0.967,145.738,54920,4
46,Missouri,SEC,Fight Tiger,Donald MacKay and Robert Karsch,1946,1,1,1,138,86,1,4,1,1,0,0,0,0,0,0,3,4nrVmzJetWGvMa3OKGJm2Q,0.614,0.426,4,-21.438,1,0.058,0.888,0.0103,0.322,0.833,138.072,86053,4,0.614,0.426,4,-21.438,1,0.058,0.888,0.0103,0.322,0.833,138.072,86053,4,0.614,0.426,4,-21.438,1,0.058,0.888,0.0103,0.322,0.833,138.072,86053,4
47,South Carolina,SEC,The Fighting Gamecocks Lead the Way (Step to the Rear),"Paul Dietzel and Elmer Bernstein, arranged by James Pritchard",1968,0,1,0,153,64,1,4,0,1,0,0,1,0,0,1,4,65X66oBRmSp8gDkoRGbLjD,0.384,0.892,5,-13.13,0,0.0425,0.716,0.887,0.236,0.31,152.602,64013,4,0.384,0.892,5,-13.13,0,0.0425,0.716,0.887,0.236,0.31,152.602,64013,4,0.384,0.892,5,-13.13,0,0.0425,0.716,0.887,0.236,0.31,152.602,64013,4
48,Tennessee,SEC,Rocky Top,Felice and Boudleaux Bryant,1967,0,0,0,149,53,0,0,0,0,0,0,0,0,0,0,0,5BRY9YO0PDey8RQcDOV9aP,0.641,0.954,10,-5.861,0,0.046,0.802,0.979,0.266,0.363,148.872,53080,4,0.641,0.954,10,-5.861,0,0.046,0.802,0.979,0.266,0.363,148.872,53080,4,0.641,0.954,10,-5.861,0,0.046,0.802,0.979,0.266,0.363,148.872,53080,4
49,Texas A&M,SEC,Aggie War Hymn,J.V. “Pinky” Wilson,1918,1,0,1,117,172,1,1,0,0,0,1,0,1,1,0,4,4mssGSMkmNIv0XR5e6j9Ky,0.695,0.938,5,-6.177,0,0.0703,0.825,0.981,0.0553,0.44,116.956,172347,4,0.695,0.938,5,-6.177,0,0.0703,0.825,0.981,0.0553,0.44,116.956,172347,4,0.695,0.938,5,-6.177,0,0.0703,0.825,0.981,0.0553,0.44,116.956,172347,4
50,Vanderbilt,SEC,Dynamite,Francis Craig,1941,0,1,0,72,45,1,3,1,1,0,0,0,0,0,0,3,5tXWqJHiTDHRYtOngsBPAW,0.441,0.626,5,-8.178,0,0.0915,0.286,0.00111,0.33,0.739,71.875,45427,4,0.441,0.626,5,-8.178,0,0.0915,0.286,0.00111,0.33,0.739,71.875,45427,4,0.441,0.626,5,-8.178,0,0.0915,0.286,0.00111,0.33,0.739,71.875,45427,4
51,Boston College,ACC,For Boston,T.J. Hurley,Unknown,0,1,0,147,84,0,0,0,0,0,0,0,0,0,0,0,4E8cLR6NcYCCJWqD2iwz7c,0.649,0.984,10,-9.141,1,0.0483,0.831,0.959,0.349,0.532,147.26,84167,4,0.649,0.984,10,-9.141,1,0.0483,0.831,0.959,0.349,0.532,147.26,84167,4,0.649,0.984,10,-9.141,1,0.0483,0.831,0.959,0.349,0.532,147.26,84167,4
52,Clemson,ACC,Tiger Rag,Original Dixieland Jass Band,1917,0,1,0,145,78,0,0,0,0,0,0,0,0,0,1,1,7hGtgN4N9ebZTlC7xhvKIE,0.491,0.762,2,-9.089,0,0.0346,0.261,0.988,0.168,0.675,145.158,78653,4,0.491,0.762,2,-9.089,0,0.0346,0.261,0.988,0.168,0.675,145.158,78653,4,0.491,0.762,2,-9.089,0,0.0346,0.261,0.988,0.168,0.675,145.158,78653,4
53,Duke,ACC,Fight Blue Devils,Joe Hewitt and Doug Ballin,1947,0,1,0,139,58,1,5,0,1,0,0,1,0,1,0,4,0fDiYvMTYWSSrIuHVJGMZj,0.409,0.866,8,-7.721,1,0.033,0.137,0.966,0.354,0.422,139.156,58540,4,0.409,0.866,8,-7.721,1,0.033,0.137,0.966,0.354,0.422,139.156,58540,4,0.409,0.866,8,-7.721,1,0.033,0.137,0.966,0.354,0.422,139.156,58540,4
